Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
57,8105,species,Bald Eagle,Haliaeetus leucocephalus,1,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
58,7550,species,Turkey Vulture,Cathartes aura,1,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
59,708,species,Common Merganser,Mergus merganser,3,Council Grove SP,US-MT,02 Jul 2023,L492302,S143584098,,1
60,32315,species,Chipping Sparrow,Spizella passerina,2,Greenough Park,US-MT,02 Jul 2023,L1296837,S143584531,,1
61,26368,species,Pygmy Nuthatch,Sitta pygmaea,8,Greenough Park,US-MT,02 Jul 2023,L1296837,S143584531,,1
62,4760,species,Calliope Hummingbird,Selasphorus calliope,1,Greenough Park,US-MT,02 Jul 2023,L1296837,S143584531,,1
63,33175,species,Brewer's Blackbird,Euphagus cyanocephalus,,Silver's Lagoon,US-MT,01 Jul 2023,L25694963,S143585837,,1
64,27969,species,American Robin,Turdus migratorius,,Silver's Lagoon,US-MT,01 Jul 2023,L25694963,S143585837,,1
65,31648,species,House Finch,Haemorhous mexicanus,2,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,,1
66,29256,species,Cedar Waxwing,Bombycilla cedrorum,3,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,,1
67,7565,species,Osprey,Pandion haliaetus,1,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,,1
68,4763,species,Rufous Hummingbird,Selasphorus rufus,1,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,,1
69,1856,species,Rock Pigeon,Columba livia,,Polleys Square,US-MT,01 Jul 2023,L25694284,S143585584,N,1
70,33404,species,Yellow Warbler,Setophaga petechia,2,Clark Fork Natural Area,US-MT,01 Jul 2023,L25587442,S143585112,,1
71,3482,species,Common Nighthawk,Chordeiles minor,2,Blue Mountain Recreation Area,US-MT,30 Jun 2023,L4588771,S143588707,,1
72,33157,species,Brown-headed Cowbird,Molothrus ater,1,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,,1
73,27232,species,European Starling,Sturnus vulgaris,5,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,N,1
74,23564,species,Bank Swallow,Riparia riparia,,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,,1
75,21563,species,Black-capped Chickadee,Poecile atricapillus,3,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,,1
76,11572,species,Northern Flicker,Colaptes auratus,1,Clark Fork Natural Area,US-MT,30 Jun 2023,L25587442,S143588520,,1
77,32601,species,Song Sparrow,Melospiza melodia,7,Blue Mountain Recreation Area,US-MT,30 Jun 2023,L4588771,S143588176,,1
78,32512,species,White-crowned Sparrow,Zonotrichia leucophrys,1,Blue Mountain Recreation Area,US-MT,30 Jun 2023,L4588771,S143588176,,1
79,5866,species,Killdeer,Charadrius vociferus,2,Blue Mountain Recreation Area,US-MT,30 Jun 2023,L4588771,S143588176,,1
80,33101,species,Red-winged Blackbird,Agelaius phoeniceus,5,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
81,21054,species,American Crow,Corvus brachyrhynchos,,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
82,11083,species,Downy Woodpecker,Dryobates pubescens,1,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
83,2405,species,Mourning Dove,Zenaida macroura,,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
84,505,species,Mallard,Anas platyrhynchos,,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
85,319,species,Canada Goose,Branta canadensis,14,Bancroft Pond,US-MT,29 Jun 2023,L6860732,S143589805,,1
86,33903,species,Lazuli Bunting,Passerina amoena,1,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,,1
87,21575,species,Mountain Chickadee,Poecile gambeli,,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,,1
88,18795,species,Red-eyed Vireo,Vireo olivaceus,1,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,,1
89,16489,species,Western Wood-Pewee,Contopus sordidulus,1,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,,1
90,2033,species,Eurasian Collared-Dove,Streptopelia decaocto,,Greenough Park,US-MT,29 Jun 2023,L1296837,S143589394,N,1
91,20972,species,Black-billed Magpie,Pica hudsonia,1,Gallatin County Court House,US-MT,29 Jun 2023,L25695637,S143589089,,1
92,33811,species,Northern Cardinal,Cardinalis cardinalis,5,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
93,21558,species,Carolina Chickadee,Poecile carolinensis,1,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
94,16583,species,Eastern Phoebe,Sayornis phoebe,2,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
95,7384,species,Green Heron,Butorides virescens,1,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
96,7323,species,Great Egret,Ardea alba,1,Shoal Creek Trail,US-TX,27 Jun 2023,L25519782,S142874758,,1
97,33177,species,Common Grackle,Quiscalus quiscula,3,West Campus,US-TX,24 Jun 2023,L25429501,S142584778,,1
98,30886,species,House Sparrow,Passer domesticus,2,West Campus,US-TX,24 Jun 2023,L25429501,S142584778,N,1
99,27525,species,Northern Mockingbird,Mimus polyglottos,10,West Campus,US-TX,24 Jun 2023,L25429501,S142584778,,1
100,7546,species,Black Vulture,Coragyps atratus,1,West Campus,US-TX,24 Jun 2023,L25429501,S142584778,,1
101,33188,species,Great-tailed Grackle,Quiscalus mexicanus,3,West Campus,US-TX,23 Jun 2023,L25429501,S142511792,,1
102,20786,species,Blue Jay,Cyanocitta cristata,2,West Campus,US-TX,23 Jun 2023,L25429501,S142511792,,1
103,2382,species,White-winged Dove,Zenaida asiatica,2,West Campus,US-TX,23 Jun 2023,L25429501,S142511792,,1
10,264,species,Swan Goose,Anser cygnoides,1,Mueller Lake Park,US-TX,21 Jul 2023,L512026,S145192657,X,0
14,415,species,Muscovy Duck,Cairina moschata,8,Mueller Lake Park,US-TX,17 Jul 2023,L512026,S144832661,X,0
32,10889,slash,Golden-fronted/Red-bellied Woodpecker,Melanerpes aurifrons/carolinus,1,Shoal Creek Greenbelt--Pease District Park area,US-TX,07 Jul 2023,L270814,S143834438,,0
