Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
171,33616,species,Pine Warbler,Setophaga pinus,1,Ashwood Road + Cherrywood Neighborhood,US-TX,02 Feb 2024,L26073530,S160427019,,1
173,23691,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,2,Roy G. Guerrero Colorado River Metro Park,US-TX,19 Feb 2024,L567534,S162374380,,1
174,33987,species,Pyrrhuloxia,Cardinalis sinuatus,1,Roy G. Guerrero Colorado River Metro Park,US-TX,19 Feb 2024,L567534,S162374380,,1
175,23666,species,Purple Martin,Progne subis,3,Mueller Lake Park,US-TX,22 Feb 2024,L512026,S162549698,,1
176,5442,species,Common Gallinule,Gallinula galeata,7,Fortymile Bend,US-FL,29 Feb 2024,L635618,S163900865,,1
177,5489,species,Purple Gallinule,Porphyrio martinica,1,Fortymile Bend,US-FL,29 Feb 2024,L635618,S163900865,,1
178,7195,species,Anhinga,Anhinga anhinga,1,Fortymile Bend,US-FL,29 Feb 2024,L635618,S163900865,,1
179,7546,species,White Ibis,Eudocimus albus,2,Fortymile Bend,US-FL,29 Feb 2024,L635618,S163900865,,1
180,7699,species,Swallow-tailed Kite,Elanoides forficatus,1,Fortymile Bend,US-FL,29 Feb 2024,L635618,S163900865,,1
181,33332,species,Boat-tailed Grackle,Quiscalus major,6,Fortymile Bend,US-FL,29 Feb 2024,L635618,S163900865,,1
182,6125,species,Ruddy Turnstone,Arenaria interpres,13,Bahia Honda SP,US-FL,29 Feb 2024,L127445,S163298858,,1
183,6153,species,Sanderling,Calidris alba,2,Bahia Honda SP,US-FL,29 Feb 2024,L127445,S163298858,,1
184,6448,species,Laughing Gull,Leucophaeus atricilla,1,Bahia Honda SP,US-FL,29 Feb 2024,L127445,S163298858,,1
185,6725,species,Royal Tern,Thalasseus maximus,1,Bahia Honda SP,US-FL,29 Feb 2024,L127445,S163298858,,1
186,7289,species,Brown Pelican,Pelecanus occidentalis,2,Bahia Honda SP,US-FL,29 Feb 2024,L127445,S163298858,,1
187,33611,species,Palm Warbler,Setophaga palmarum,1,Bahia Honda SP,US-FL,29 Feb 2024,L127445,S163298858,,1
188,2262,species,Common Ground Dove,Columbina passerina,2,Bahia Honda SP,US-FL,01 Mar 2024,L127445,S163324903,,1
189,33643,species,Prairie Warbler,Setophaga discolor,1,Bahia Honda SP,US-FL,01 Mar 2024,L127445,S163324903,,1
190,6024,species,Short-billed Dowitcher,Limnodromus griseus,1,Bahia Honda SP,US-FL,01 Mar 2024,L127445,S163330313,,1
191,6111,species,Willet,Tringa semipalmata,1,Bahia Honda SP,US-FL,01 Mar 2024,L127445,S163330313,,1
192,7147,species,Magnificent Frigatebird,Fregata magnificens,1,Bahia Honda SP,US-FL,01 Mar 2024,L127445,S163332715,,1
193,1562,species,Red Junglefowl,Gallus gallus,2,Fort Zachary Taylor Historic SP,US-FL,02 Mar 2024,L127449,S163472104,P,1
194,1976,species,White-crowned Pigeon,Patagioenas leucocephala,3,Fort Zachary Taylor Historic SP,US-FL,02 Mar 2024,L127449,S163472104,,1
195,6713,species,Sandwich Tern,Thalasseus sandvicensis,1,Fort Zachary Taylor Historic SP,US-FL,02 Mar 2024,L127449,S163472104,,1
196,7406,species,Reddish Egret,Egretta rufescens,1,Fort Zachary Taylor Historic SP,US-FL,02 Mar 2024,L127449,S163472104,,1
197,33534,species,Northern Parula,Setophaga americana,1,Fort Zachary Taylor Historic SP,US-FL,02 Mar 2024,L127449,S163472104,,1
198,33631,species,Yellow-throated Warbler,Setophaga dominica,1,Fort Zachary Taylor Historic SP,US-FL,02 Mar 2024,L127449,S163472104,,1
199,8304,species,Short-tailed Hawk,Buteo brachyurus,1,"1406 Ricketts Circle, Key West, Florida, US (24.562, -81.792)",US-FL,02 Mar 2024,L29610729,S163480618,,1
200,5782,species,Black-bellied Plover,Pluvialis squatarola,2,Sandspur Beach,US-FL,02 Mar 2024,L1451390,S163499122,,1
202,6670,species,Forster's Tern,Sterna forsteri,2,Sandspur Beach,US-FL,02 Mar 2024,L1451390,S163499122,,1
203,7402,species,Tricolored Heron,Egretta tricolor,1,Sandspur Beach,US-FL,02 Mar 2024,L1451390,S163499122,,1
204,1515,species,Indian Peafowl,Pavo cristatus,4,"88665 U.S. 1, Tavernier, Florida, US (24.976, -80.553)",US-FL,03 Mar 2024,L29621699,S163535488,P,1
205,7138,species,Wood Stork,Mycteria americana,4,"Alligator Alley, Ochopee, Florida, US (26.168, -81.095)",US-FL,03 Mar 2024,L29626148,S163561410,,1
