Row # ,Link,Common Name
64,n,Black-headed Grosbeak
65,"<iframe src=""https://macaulaylibrary.org/asset/615182258/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Snowy Egret
66,"<iframe src=""https://macaulaylibrary.org/asset/612787561/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Red-bellied Woodpecker
67,n,Great Crested Flycatcher
68,"<iframe src=""https://macaulaylibrary.org/asset/615903920/embed"" height=""505"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Barn Swallow
69,"<iframe src=""https://macaulaylibrary.org/asset/611275350/embed"" height=""504"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Lesser Goldfinch
70,"<iframe src=""https://macaulaylibrary.org/asset/615452496/embed"" height=""536"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Field Sparrow
71,n,Chimney Swift
73,n,Ladder-backed Woodpecker
74,"<iframe src=""https://macaulaylibrary.org/asset/609956981/embed"" height=""300"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Black-crested Titmouse
75,"<iframe src=""https://macaulaylibrary.org/asset/615698873/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Blue-gray Gnatcatcher
76,"<iframe src=""https://macaulaylibrary.org/asset/615941936/embed"" height=""508"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Carolina Wren
77,n,Golden-fronted Woodpecker
78,n,Western Kingbird
79,n,Eastern Kingbird
80,n,White-eyed Vireo
81,"<iframe src=""https://macaulaylibrary.org/asset/615182090/embed"" height=""548"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",American Coot
82,n,Black-necked Stilt
83,n,Lesser Yellowlegs
84,"<iframe src=""https://macaulaylibrary.org/asset/615726020/embed"" height=""538"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Least Sandpiper
85,n,Western Cattle Egret
86,n,Scissor-tailed Flycatcher
87,n,Eastern Bluebird
88,"<iframe src=""https://macaulaylibrary.org/asset/615995944/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Black-bellied Whistling-Duck
89,n,Egyptian Goose
91,n,Red-shouldered Hawk
92,n,Broad-winged Hawk
93,n,Monk Parakeet
95,n,Bewick's Wren
96,n,Mississippi Kite
97,n,Cooper's Hawk
98,n,Tufted Titmouse
99,n,Little Blue Heron
100,n,Barred Owl
101,n,Yellow-crowned Night Heron
102,n,Least Flycatcher
103,n,Northern Bobwhite
104,n,Gadwall
105,n,Ring-necked Duck
106,n,Ruby-throated Hummingbird
107,n,Northern Waterthrush
108,n,Acadian Flycatcher
109,n,Wilson's Warbler
110,n,Black-and-white Warbler
111,n,Northern Shoveler
112,n,Nashville Warbler
113,n,Cave Swallow
114,n,Blackburnian Warbler
115,n,Blue-headed Vireo
116,n,Pied-billed Grebe
117,n,Clay-colored Sparrow
118,n,Lincoln's Sparrow
119,n,Common Yellowthroat
120,n,Blue-winged Teal
121,n,Savannah Sparrow
122,n,Western Meadowlark
123,n,House Wren
124,n,Ruby-crowned Kinglet
125,n,Orange-crowned Warbler
126,n,Double-crested Cormorant
127,n,Grasshopper Sparrow
128,n,Vesper Sparrow
129,n,Yellow-rumped Warbler
130,n,Common Eider
131,n,Surf Scoter
132,n,White-winged Scoter
133,n,Herring Gull
134,n,Great Black-backed Gull
135,n,Red-throated Loon
136,n,Common Loon
137,n,Golden-crowned Kinglet
138,n,Bufflehead
139,n,Hermit Thrush
140,n,Dark-eyed Junco
141,n,Brown Creeper
142,n,Winter Wren
143,n,White-throated Sparrow
144,n,Swamp Sparrow
145,n,Mute Swan
146,n,Hooded Merganser
147,n,Lesser Scaup
148,n,Ruddy Duck
149,n,Sharp-shinned Hawk
151,n,American Wigeon
152,n,Northern Pintail
153,"<iframe src=""https://macaulaylibrary.org/asset/612319687/embed"" height=""503"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Greater Yellowlegs
154,n,Crested Caracara
155,n,Green-tailed Towhee
156,n,Green-winged Teal
157,n,Least Grebe
158,n,Eared Grebe
159,n,Wilson's Snipe
160,n,Marsh Wren
161,n,American Pipit
162,n,Yellow-bellied Sapsucker
163,n,Canvasback
164,n,Fish Crow
165,n,American Tree Sparrow
166,n,Red-headed Woodpecker
168,n,Redhead
169,n,Wood Duck
170,n,Couch's Kingbird
171,n,Pine Warbler
173,n,Northern Rough-winged Swallow
174,n,Pyrrhuloxia
175,n,Purple Martin
176,n,Common Gallinule
177,n,Purple Gallinule
178,n,Anhinga
179,n,White Ibis
180,n,Swallow-tailed Kite
181,n,Boat-tailed Grackle
182,n,Ruddy Turnstone
183,n,Sanderling
184,n,Laughing Gull
185,n,Royal Tern
186,n,Brown Pelican
187,n,Palm Warbler
188,n,Common Ground Dove
189,n,Prairie Warbler
190,n,Short-billed Dowitcher
191,n,Willet
192,n,Magnificent Frigatebird
193,n,Red Junglefowl
194,n,White-crowned Pigeon
195,n,Sandwich Tern
196,n,Reddish Egret
197,n,Northern Parula
198,"<iframe src=""https://macaulaylibrary.org/asset/615696904/embed"" height=""515"" width=""640"" frameborder=""0"" allowfullscreen></iframe>",Yellow-throated Warbler
199,n,Short-tailed Hawk
200,n,Black-bellied Plover
202,n,Forster's Tern
203,n,Tricolored Heron
204,n,Indian Peafowl
205,n,Wood Stork
206,n,Yellow-throated Vireo
90,n,Muscovy Duck
94,n,Swan Goose
72,n,Golden-fronted/Red-bellied Woodpecker
150,n,pigeon/dove sp.
167,n,gull sp.
172,n,Sharp-shinned/Cooper's Hawk
201,n,peep sp.
207,n,Western/Eastern Meadowlark

